Year,Month,Province,District,Agents
2023,Janeiro,Província de Maputo,Cidade de Maputo,33159.0
2023,Fevereiro,Província de Maputo,Cidade de Maputo,33185.0
2023,Março,Província de Maputo,Cidade de Maputo,33950.0
2023,Abril,Província de Maputo,Cidade de Maputo,31011.0
2023,Maio,Província de Maputo,Cidade de Maputo,35280.0
2023,Junho,Província de Maputo,Cidade de Maputo,35839.0
2023,Julho,Província de Maputo,Cidade de Maputo,32681.0
2023,Agosto,Província de Maputo,Cidade de Maputo,33620.0
2023,Setembro,Província de Maputo,Cidade de Maputo,32044.0
2023,Outubro,Província de Maputo,Cidade de Maputo,32853.0
2023,Novembro,Província de Maputo,Cidade de Maputo,32539.0
2023,Dezembro,Província de Maputo,Cidade de Maputo,34634.0
2023,Janeiro,Província de Maputo,Cidade da Matola,21513.0
2023,Fevereiro,Província de Maputo,Cidade da Matola,21728.0
2023,Março,Província de Maputo,Cidade da Matola,22032.0
2023,Abril,Província de Maputo,Cidade da Matola,22841.0
2023,Maio,Província de Maputo,Cidade da Matola,23729.0
2023,Junho,Província de Maputo,Cidade da Matola,24332.0
2023,Julho,Província de Maputo,Cidade da Matola,24390.0
2023,Agosto,Província de Maputo,Cidade da Matola,25306.0
2023,Setembro,Província de Maputo,Cidade da Matola,22725.0
2023,Outubro,Província de Maputo,Cidade da Matola,23387.0
2023,Novembro,Província de Maputo,Cidade da Matola,24622.0
2023,Dezembro,Província de Maputo,Cidade da Matola,24787.0
2023,Janeiro,Província de Maputo,Boane,2915.0
2023,Fevereiro,Província de Maputo,Boane,2917.0
2023,Março,Província de Maputo,Boane,3153.0
2023,Abril,Província de Maputo,Boane,3329.0
2023,Maio,Província de Maputo,Boane,3437.0
2023,Junho,Província de Maputo,Boane,3541.0
2023,Julho,Província de Maputo,Boane,3636.0
2023,Agosto,Província de Maputo,Boane,3717.0
2023,Setembro,Província de Maputo,Boane,3188.0
2023,Outubro,Província de Maputo,Boane,3379.0
2023,Novembro,Província de Maputo,Boane,3610.0
2023,Dezembro,Província de Maputo,Boane,3641.0
2023,Janeiro,Província de Maputo,Magude,271.0
2023,Fevereiro,Província de Maputo,Magude,277.0
2023,Março,Província de Maputo,Magude,283.0
2023,Abril,Província de Maputo,Magude,308.0
2023,Maio,Província de Maputo,Magude,323.0
2023,Junho,Província de Maputo,Magude,347.0
2023,Julho,Província de Maputo,Magude,346.0
2023,Agosto,Província de Maputo,Magude,372.0
2023,Setembro,Província de Maputo,Magude,555.0
2023,Outubro,Província de Maputo,Magude,550.0
2023,Novembro,Província de Maputo,Magude,571.0
2023,Dezembro,Província de Maputo,Magude,572.0
2023,Janeiro,Província de Maputo,Manhiça,1750.0
2023,Fevereiro,Província de Maputo,Manhiça,1746.0
2023,Março,Província de Maputo,Manhiça,1863.0
2023,Abril,Província de Maputo,Manhiça,1879.0
2023,Maio,Província de Maputo,Manhiça,1916.0
2023,Junho,Província de Maputo,Manhiça,1945.0
2023,Julho,Província de Maputo,Manhiça,1962.0
2023,Agosto,Província de Maputo,Manhiça,2053.0
2023,Setembro,Província de Maputo,Manhiça,1941.0
2023,Outubro,Província de Maputo,Manhiça,1965.0
2023,Novembro,Província de Maputo,Manhiça,2074.0
2023,Dezembro,Província de Maputo,Manhiça,2093.0
2023,Janeiro,Província de Maputo,Marracuene,3739.0
2023,Fevereiro,Província de Maputo,Marracuene,3761.0
2023,Março,Província de Maputo,Marracuene,4266.0
2023,Abril,Província de Maputo,Marracuene,4824.0
2023,Maio,Província de Maputo,Marracuene,4956.0
2023,Junho,Província de Maputo,Marracuene,5257.0
2023,Julho,Província de Maputo,Marracuene,5283.0
2023,Agosto,Província de Maputo,Marracuene,5465.0
2023,Setembro,Província de Maputo,Marracuene,7193.0
2023,Outubro,Província de Maputo,Marracuene,7374.0
2023,Novembro,Província de Maputo,Marracuene,7612.0
2023,Dezembro,Província de Maputo,Marracuene,7738.0
2023,Janeiro,Província de Maputo,Matutuíne,349.0
2023,Fevereiro,Província de Maputo,Matutuíne,348.0
2023,Março,Província de Maputo,Matutuíne,357.0
2023,Abril,Província de Maputo,Matutuíne,378.0
2023,Maio,Província de Maputo,Matutuíne,398.0
2023,Junho,Província de Maputo,Matutuíne,407.0
2023,Julho,Província de Maputo,Matutuíne,409.0
2023,Agosto,Província de Maputo,Matutuíne,424.0
2023,Setembro,Província de Maputo,Matutuíne,366.0
2023,Outubro,Província de Maputo,Matutuíne,379.0
2023,Novembro,Província de Maputo,Matutuíne,385.0
2023,Dezembro,Província de Maputo,Matutuíne,395.0
2023,Janeiro,Província de Maputo,Namaacha,271.0
2023,Fevereiro,Província de Maputo,Namaacha,283.0
2023,Março,Província de Maputo,Namaacha,285.0
2023,Abril,Província de Maputo,Namaacha,311.0
2023,Maio,Província de Maputo,Namaacha,310.0
2023,Junho,Província de Maputo,Namaacha,319.0
2023,Julho,Província de Maputo,Namaacha,309.0
2023,Agosto,Província de Maputo,Namaacha,308.0
2023,Setembro,Província de Maputo,Namaacha,294.0
2023,Outubro,Província de Maputo,Namaacha,304.0
2023,Novembro,Província de Maputo,Namaacha,319.0
2023,Dezembro,Província de Maputo,Namaacha,318.0
2023,Janeiro,Província de Maputo,Moamba,895.0
2023,Fevereiro,Província de Maputo,Moamba,963.0
2023,Março,Província de Maputo,Moamba,974.0
2023,Abril,Província de Maputo,Moamba,1062.0
2023,Maio,Província de Maputo,Moamba,1064.0
2023,Junho,Província de Maputo,Moamba,1122.0
2023,Julho,Província de Maputo,Moamba,1137.0
2023,Agosto,Província de Maputo,Moamba,1177.0
